feature,mi
loan_status,0.4143692450444263
out_prncp_inv,0.3086021644128174
out_prncp,0.29972883041866627
total_rec_prncp,0.14134499956029511
total_pymnt,0.1246495683392892
total_pymnt_inv,0.12342356071720584
last_pymnt_amnt,0.11824291069088377
total_rec_int,0.0802880208181651
last_credit_pull_d,0.059438208731200204
open_acc,0.04160732816235391
last_pymnt_d,0.0370129241424233
mths_since_recent_inq__is_missing,0.0358415845355633
tot_hi_cred_lim,0.03558091168396693
sec_app_revol_util,0.03507849042305766
total_il_high_credit_limit,0.03253516343003948
initial_list_status,0.03221117282246344
avg_cur_bal,0.031452962122275885
emp_title__is_missing,0.03092514715006911
total_bal_il,0.02740680840193721
revol_bal_joint,0.02725185687507814
total_rec_late_fee,0.026736096722578262
percent_bc_gt_75,0.02401598306407693
num_rev_tl_bal_gt_0,0.023443444184874762
mths_since_last_major_derog__is_missing,0.020313818757528246
mths_since_last_major_derog,0.019578043477118445
num_sats,0.01873134573062929
total_bc_limit,0.01589949809563107
application_type,0.014888127177824506
num_rev_accts,0.01446719868144597
max_bal_bc,0.014175499514992085
verification_status_joint,0.014062747007118626
dti,0.012419217970651264
mths_since_recent_inq,0.012183244644788038
inq_last_12m,0.012159769141868892
int_rate,0.01212901837170488
open_rv_24m,0.011475382125782252
all_util,0.010623468122392454
open_il_12m,0.010295919229580619
mths_since_recent_revol_delinq__is_missing,0.009918371256524505
title,0.008523111484844526
mths_since_last_record__is_missing,0.008182449767627942
sec_app_mort_acc,0.007650604308634179
inq_last_6mths,0.006517573982337543
mths_since_last_delinq__is_missing,0.006096542514273162
revol_bal,0.0056016299070520414
sec_app_num_rev_accts,0.005596495880697994
dti_joint,0.005200415736824393
open_acc_6m,0.004648431466808933
home_ownership,0.001837031724711169
funded_amnt,0.0015982769371813976
verification_status,0.0014938476365782272
inq_fi,0.0010723674788111204
chargeoff_within_12_mths,0.0010127889480453511
total_rev_hi_lim,0.000882833341516287
term,0.0006134747687096542
mths_since_recent_bc_dlq,0.0005648317081943244
open_il_24m,0.00055943865193675
mths_since_last_delinq,0.00045332022307276176
purpose,0.0
mths_since_recent_bc_dlq__is_missing,0.0
il_util__is_missing,0.0
sec_app_inq_last_6mths,0.0
sec_app_open_acc,0.0
disbursement_method,0.0
annual_inc_joint__is_missing,0.0
earliest_cr_line,0.0
addr_state,0.0
sec_app_open_act_il,0.0
issue_d,0.0
sec_app_collections_12_mths_ex_med,0.0
grade,0.0
sub_grade,0.0
emp_title,0.0
sec_app_earliest_cr_line,0.0
emp_length,0.0
zip_code,0.0
emp_length__is_missing,0.0
loan_amnt,0.0
pub_rec_bankruptcies,0.0
collections_12_mths_ex_med,0.0
total_cu_tl,0.0
open_rv_12m,0.0
il_util,0.0
mths_since_rcnt_il,0.0
open_act_il,0.0
tot_coll_amt,0.0
annual_inc_joint,0.0
total_acc,0.0
bc_open_to_buy,0.0
revol_util,0.0
pub_rec,0.0
mths_since_last_record,0.0
delinq_2yrs,0.0
annual_inc,0.0
installment,0.0
funded_amnt_inv,0.0
acc_open_past_24mths,0.0
bc_util,0.0
pct_tl_nvr_dlq,0.0
num_actv_rev_tl,0.0
num_tl_op_past_12m,0.0
num_tl_90g_dpd_24m,0.0
num_tl_120dpd_2m,0.0
num_op_rev_tl,0.0
num_il_tl,0.0
num_bc_tl,0.0
num_bc_sats,0.0
num_actv_bc_tl,0.0
delinq_amnt,0.0
num_accts_ever_120_pd,0.0
mths_since_recent_bc,0.0
mort_acc,0.0
mo_sin_rcnt_tl,0.0
mo_sin_rcnt_rev_tl_op,0.0
mo_sin_old_rev_tl_op,0.0
mo_sin_old_il_acct,0.0
mths_since_recent_revol_delinq,0.0
